FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Gorgui Dieng,San,C,32.77,2,10.8,22.4,13.2,0,0,0,2,1,5,0.2,0.5,0.5,3.5,2,10,3,36.2,0,1,0,10.2,135.8,97
Ousmane Dieng,Okc,0,19.43,3,13.2,27.5,12.3,8.3,0,0,6,0.167,5,0.2,0.227,0.227,1.7,2.3,8.5,1,9.6,0.33,0.67,0.33,4.8,65.5,105
Spencer Dinwiddie,Dal,G,29.55,2,28,58.2,21.5,10.8,2,0,14,0.429,10,0.6,0.625,0.603,15,2.5,5.3,2.5,14.5,0,0,1.5,6.5,109.6,97.9
Donte DiVincenzo,Gol,G,25.73,3,14,29.2,17.8,32,4,0.75,5,0.6,6,0.333,0.545,0.588,5,0.7,2.6,1,9,0.33,0,2,4.3,83.2,105.6
Luka Doncic,Dal,F-G,23.66,2,33.3,69.4,39.4,11.5,18,0.944,27,0.593,19,0.316,0.543,0.621,33.5,8,14.3,8,47.8,1.5,1,3.5,15.5,124.3,95.2
Tyler Dorsey,Dal,0,26.69,1,4.3,9,40.1,0,0,0,3,1,1,1,1.125,1.125,9,2,27.7,0,0,0,0,0,0,226,104.7
Luguentz Dort,Okc,G,23.52,3,30.8,64.2,23.3,9.4,18,0.833,20,0.4,20,0.2,0.35,0.449,14.3,5.3,8.3,2.7,12.2,2,0,1.67,7.7,101.5,99.5
Ayo Dosunmu,Chi,G,22.77,4,32.1,66.9,14.8,9.1,0,0,22,0.545,18,0.5,0.638,0.638,12.8,5.3,8.8,2.8,13.9,1,0.25,1,7.2,124,102.7
Goran Dragic,Chi,G,36.47,4,17.7,36.9,19.3,6.3,6,0.5,17,0.353,10,0.5,0.5,0.506,7.5,1,3,4,36.1,0.5,0,0.5,7,119.6,103.1
Andre Drummond,Chi,C,29.21,4,15.3,31.9,26,27.1,9,0.778,21,0.524,2,0,0.478,0.538,7.3,8.5,29.8,0.5,5.4,0.75,0.5,2.5,8.2,94.8,87
Chris Duarte,Ind,G,25.37,4,18.4,38.3,20.2,10.6,4,1,19,0.368,13,0.231,0.359,0.4,6.8,2,5.6,1,7.1,0.25,0.5,1,5.2,85.9,113.2
Kevin Durant,Bro,F,34.07,3,35.4,73.8,33.3,12.3,28,0.857,41,0.659,18,0.333,0.61,0.673,32,4.3,6.8,4,20.2,0.33,2,3.33,9.3,122.3,109.6
Jalen Duren,Det,0,18.93,3,20.9,43.6,19.3,13.2,5,0,23,0.609,1,0,0.583,0.534,9.3,7.7,17.6,0.3,2.7,0.33,1.67,1.33,5.3,100.2,109.1
Tari Eason,Hou,0,21.46,4,18.1,37.6,20.7,5.4,5,0.8,25,0.4,8,0.5,0.485,0.511,9,6.3,17.6,0.5,4.3,1,0.75,0.5,6.7,116.3,98.7
Anthony Edwards,Min,G,21.22,4,35.5,73.9,27.1,14.8,15,0.533,43,0.558,31,0.258,0.486,0.496,20,8.5,11.2,3.5,15.2,0.25,0.25,3.5,9.5,90.9,101.1
Kessler Edwards,Bro,F,22.21,1,3.9,8.1,33.5,0,0,0,1,0,2,0.5,0.5,0.5,3,2,28.6,2,83.8,1,0,0,23.5,,
Joel Embiid,Phi,C-F,28.61,4,34.4,71.7,36.4,13.9,36,0.833,63,0.54,14,0.214,0.5,0.576,26.8,11.3,19.1,3.3,18.3,0.5,1.75,3.75,11.6,108.4,98.4
Drew Eubanks,Por,F-C,25.73,4,14.2,29.5,8.4,18.2,9,0.778,5,0.6,0,0,0.6,0.725,3.3,3.3,13,0.3,2.3,0.5,1,0.5,4.2,139.4,106
Bruno Fernando,Hou,F-C,24.2,2,18.4,38.3,8.6,12.7,2,0.5,6,0.833,0,0,0.833,0.799,5.5,6.5,18,4.5,35.1,0.5,1,0.5,11.8,169.7,103.4
Dorian Finney-Smith,Dal,F,29.48,2,32.7,68,7.5,8.7,1,0,4,0.75,6,0.333,0.6,0.575,6,4,7.3,0.5,2,1.5,0.5,0.5,2.8,118.3,98.8
Malachi Flynn,Tor,G,24.46,2,7.3,15.1,18.4,0,0,0,1,0,5,0.6,0.75,0.75,4.5,0,0,0,0,0,0,0,0,146,94.3
Simone Fontecchio,Uta,0,26.88,3,5.6,11.7,26.6,18.2,0,0,4,0.5,5,0.6,0.722,0.722,4.3,1,9.6,0,0,0,0,0.67,0,108.1,91.5
Bryn Forbes,Min,G,29.26,4,8,16.7,13.8,9.2,2,1,5,0.4,4,0,0.222,0.304,1.5,0.3,1.5,0.5,7.7,0.25,0,0.25,3,68.6,105.7
Trent Forrest,Atl,G,24.37,1,1.7,3.5,0,,0,0,0,0,0,0,,,0,0,0,1,68.3,0,0,0,0,,
Evan Fournier,Nyk,G-F,29.99,3,26.6,55.4,15.5,3.3,5,1,8,0.25,19,0.368,0.463,0.514,10,2.3,4.2,2.3,10.9,1,0.33,0.33,5.6,118.6,97.5
De'Aaron Fox,Sac,G,24.85,3,34.6,72.2,33.8,16.6,14,0.714,44,0.659,20,0.45,0.664,0.677,31.7,5.7,9.3,7,39.7,1.33,0.33,4.67,12.5,118,97.5
Wenyen Gabriel,Lal,F,25.58,1,7.8,16.3,9.8,0,2,0,1,0,0,0,0,0,0,1,6.5,1,16.2,0,0,0,0,56.5,90.6
Daniel Gafford,Was,F-C,24.07,3,16.2,33.7,15.6,35.3,0,0,11,0.727,0,0,0.727,0.727,5.3,3.7,13.3,0,0,0.67,1,2,0,95,98.5
Darius Garland,Cle,G,22.75,1,13.3,27.7,43.5,38.5,0,0,7,0.286,1,0,0.25,0.25,4,1,4.6,3,32.1,2,1,5,6.9,44.6,99.4
Usman Garuba,Hou,F,20.63,2,17.9,37.2,13.2,34,4,0.25,5,0.4,1,1,0.583,0.515,4,6,17.1,1.5,11.2,2,0,2,7.4,98,98.4
Rudy Gay,Uta,F-G,36.19,4,17.1,35.7,15.9,14.9,2,0,11,0.364,11,0.455,0.523,0.503,5.8,2.5,7.8,1.3,9.7,0.75,0.75,1,6.2,99.5,101
Paul George,Lac,F,32.48,3,36.1,75.3,29.6,15.2,17,0.941,31,0.548,23,0.304,0.509,0.577,23.7,7.7,11.4,4.7,22.6,2,0.33,3.67,10.5,107.6,100.4
Josh Giddey,Okc,G,20.04,3,29.4,61.3,23.9,17.3,2,0.5,29,0.517,13,0.308,0.5,0.501,14.3,8.3,13.5,5,27.2,0.33,1,3,11.4,99.6,99.4
Shai Gilgeous-Alexander,Okc,G-F,24.29,2,35.4,73.6,33.9,11.9,11,1,36,0.556,11,0.273,0.521,0.579,30,4.5,6.1,6,33,2,1,3.5,10.5,113.7,102.6
Anthony Gill,Was,F,30.02,3,12,25.1,8.7,0,0,0,4,0.75,3,0,0.429,0.429,2,1.7,8.1,0.3,3.6,0,0.33,0,3.4,94.1,95.2
Rudy Gobert,Min,C,30.33,4,32.1,66.8,16.3,13.6,15,0.533,37,0.676,1,0,0.658,0.65,14.5,15.3,22.2,1,4.6,0.5,1.75,1.75,7.5,126,98.2
Aaron Gordon,Den,F,27.11,4,29.4,61.3,24,10.6,12,0.667,41,0.707,13,0.077,0.565,0.582,17.3,7.3,14.3,2,10.5,0.25,1,1.75,8.6,114.7,115.4
Eric Gordon,Hou,G,33.83,3,32,66.7,18.3,16,11,0.818,19,0.526,13,0.308,0.5,0.556,13.7,2.3,3.7,3.3,15.1,0.33,0,2.33,5.9,109.9,113.7
Devonte' Graham,Nor,G,27.67,3,13.8,28.8,10.4,9.2,2,0.5,3,0,6,0.333,0.333,0.354,2.3,0.7,2.6,1.7,13.6,0.33,0.33,0.33,4.1,91.2,109.7
Jerami Grant,Por,F,28.62,4,36.4,75.8,17.4,6.9,28,0.75,28,0.464,14,0.5,0.56,0.626,17,4,6.2,1.3,5.1,0.5,0.75,1,4.9,126,112.2
A.J. Green,Mil,0,23.08,1,2.2,4.6,0,,0,0,0,0,0,0,,,0,0,0,1,53.2,0,0,0,0,,
Draymond Green,Gol,F,32.64,3,26.6,55.3,10.8,18.5,6,0.833,12,0.667,3,0.333,0.633,0.68,8,4,8.4,6,28.1,0.67,0.67,1.33,8.7,137.4,101.1
JaMychal Green,Gol,F-C,32.35,3,20.1,41.9,10.5,12.6,2,0.5,6,0.5,7,0.429,0.577,0.576,5.3,5.3,14.7,0.7,4.1,1.33,0.33,0.67,5.4,124.8,100.4
Jalen Green,Hou,G,20.71,4,33.7,70.2,27.5,10.9,14,0.929,49,0.449,27,0.481,0.546,0.584,24,4.3,6.4,2.5,12.9,0.75,0.25,2.5,7.6,115.9,110.1
Javonte Green,Chi,G-F,29.26,4,16,33.2,10.9,0,7,0.857,6,0.5,7,0.286,0.462,0.56,4.5,2.3,7.6,1.3,11.1,1.5,1,0,5.9,133.6,91.9
Jeff Green,Den,F,36.16,4,18.6,38.8,16.8,6.8,10,0.7,17,0.529,6,0.667,0.652,0.675,9.3,2.5,7.8,1,7.4,0.5,0,0.5,6.1,132.6,109.4
Josh Green,Dal,G,21.94,2,16.7,34.8,6.1,42,4,0.75,0,0,1,1,1.5,1.087,3,2,7.1,1.5,11.2,0.5,0.5,1,5,147.6,86.6
AJ Griffin,Atl,0,19.17,1,6.5,13.5,25.9,0,0,0,1,1,3,0.667,1,1,8,0,0,0,0,2,0,0,0,150.7,103.4
Blake Griffin,Bos,F,33.61,3,7.8,16.2,14.9,0,2,0.5,5,0.2,2,0,0.143,0.19,1,3,22.1,1,15.7,0.33,0,0,7.4,100.9,95.4
Rui Hachimura,Was,F,24.71,3,22.8,47.4,23.4,16.8,4,1,22,0.5,6,0.5,0.554,0.588,11.7,4,10.3,0.7,4.6,0,0.33,2,5.6,100.2,109.4
Tyrese Haliburton,Ind,G,22.65,4,31.6,65.8,26.2,14.2,21,0.952,40,0.575,23,0.435,0.603,0.664,24,4.3,7,9.8,48.3,1.5,0,3,12.7,133.3,113.9
R.J. Hampton,Orl,G,21.71,4,11,22.9,9.5,20.5,4,0.75,4,0.25,2,0.5,0.417,0.515,2,1,4.9,1,11.9,0.5,0,0.5,4.6,105.5,105
Tim Hardaway Jr.,Dal,G-F,30.61,2,25.5,53,22.3,7.6,10,1,9,0.333,11,0.273,0.375,0.512,12.5,2,4.7,1.5,8.2,0.5,0,1,5.3,106.4,104
James Harden,Phi,G,33.16,4,38.2,79.5,28.2,8.6,24,0.958,42,0.571,32,0.375,0.568,0.633,26.8,8.5,13,9.8,46.4,1.25,0.75,2,13.7,134.3,102.9
Jaden Hardy,Dal,0,20.31,1,6.3,13.1,34.2,40,0,0,1,0,2,0,0,0,0,1,9.5,0,0,0,0,2,0,0,106.8
Montrezl Harrell,Phi,F-C,28.75,4,8.3,17.3,12.1,11.6,6,0.833,5,0.2,0,0,0.2,0.458,1.8,0.5,3.5,0,0,0,0.5,0.25,0,102,104.2
Joe Harris,Bro,G-F,31.13,2,20.2,42.1,12.9,0,0,0,3,0.333,9,0.333,0.458,0.458,5.5,3.5,9.7,2,12.9,0,0.5,0,6.7,118.4,107.2
Kevon Harris,Orl,0,25.34,2,9.7,20.2,12.9,17,2,0.5,3,0.333,1,0,0.25,0.307,1.5,2,11.2,0.5,6.8,0.5,0,0.5,4.7,63.8,99.5
Tobias Harris,Phi,F,30.28,4,33,68.6,18.3,3.9,2,0.5,23,0.565,26,0.423,0.602,0.601,15,6,10.7,1.5,7.5,1.25,0.75,0.5,6.2,122.1,102.7
Isaiah Hartenstein,Nyk,C-F,24.47,3,26.6,55.3,14.7,17.5,8,0.75,15,0.667,5,0.2,0.575,0.616,9.7,9.3,17,1.3,6.4,1,0.67,1.67,7.4,124.8,91.8
Josh Hart,Por,G,27.64,4,37.6,78.2,12.5,16.1,10,0.8,27,0.556,5,0.4,0.563,0.604,11,10.3,15.4,3.5,13.3,1.25,0,1.75,7.8,121.3,107.3
Sam Hauser,Bos,F,24.88,4,8.5,17.8,15.4,0,2,0.5,0,0,11,0.545,0.818,0.8,4.8,1,6.7,0.3,4.3,0.25,0,0,5.3,155.4,108.2
Jaxson Hayes,Nor,C-F,22.42,1,2.9,6,13.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Killian Hayes,Det,G,21.25,3,17.1,35.6,15.9,4.9,3,0.667,9,0.222,9,0.111,0.194,0.233,3,2,5.6,4,31.4,1,0.67,0.33,6.7,79.4,101.9
Gordon Hayward,Cha,F,32.59,3,32.5,67.6,23.9,19.2,14,0.786,30,0.633,10,0.3,0.588,0.628,19.3,3.3,5.2,4.7,19.4,1.33,0,3.67,8.2,110.3,110.3
Juancho Hernangomez,Tor,F,27.07,1,7.1,14.8,0,,0,0,0,0,0,0,,,0,1,7.9,0,0,1,0,0,0,,88.8
Willy Hernangomez,Nor,C-F,28.41,1,5.9,12.3,20.2,0,0,0,3,0.333,0,0,0.333,0.333,2,5,45.3,0,0,0,0,0,0,104.2,84.3
Tyler Herro,Mia,G,22.76,4,33.2,69.2,26,10.3,17,0.882,35,0.6,27,0.333,0.556,0.604,21,8.8,14.5,3.5,19.7,0.75,0.5,2,10.4,115.8,98.8
Buddy Hield,Ind,G,29.85,4,24.8,51.7,21.9,12.7,3,1,14,0.5,33,0.364,0.532,0.548,13.3,5.8,12,3,17,0.5,0.5,1.75,9.9,110.3,106.2
Haywood Highsmith,Mia,F,25.87,3,5.1,10.7,17.4,33.3,0,0,1,0,3,0,0,0,0,1,10.7,0,0,0.67,0,0.67,0,0,96
George Hill,Mil,G,36.48,2,22.1,46,9,22.5,2,0.5,3,1,3,0.667,1,0.945,6.5,1.5,3.5,3,18.3,0,0,1,5.6,151.3,109.1
Malcolm Hill,Chi,F,27,1,0.3,0.6,0,,0,0,0,0,0,0,,,0,1,179.3,0,0,0,0,0,0,,
Aaron Holiday,Atl,G,26.07,3,15.4,32,14.5,18.9,2,1,8,0.375,4,0.25,0.375,0.427,3.7,0.7,2.2,0.7,5.6,1.33,0,1,3.2,76.2,104.4
Jrue Holiday,Mil,G,32.37,2,34,70.8,22.3,8.9,2,1,20,0.35,10,0.3,0.383,0.405,12.5,4.5,6.8,9,37.4,1,1.5,1.5,9.4,104.2,110.9
Justin Holiday,Atl,F-G,33.56,3,18.6,38.8,15.1,0,0,0,5,0,15,0.333,0.375,0.375,5,0.7,1.8,1.7,11.6,0.67,0.67,0,3.9,90,107
Richaun Holmes,Sac,F,29.03,3,14.5,30.3,15.1,19,4,0.75,11,0.727,0,0,0.727,0.745,6.3,3.7,14.4,0,0,0.67,0.33,1,0,125.1,90
Al Horford,Bos,C-F,36.39,3,27.3,56.9,11.9,13.6,0,0,3,0.333,16,0.438,0.605,0.605,7.7,5,10.5,1.3,6.4,0,0.33,1,5.4,114.6,107.8
Talen Horton-Tucker,Uta,G,21.91,4,13.6,28.3,23.7,12.6,4,0.75,18,0.5,8,0.25,0.462,0.486,6.8,2.5,9.8,1.5,16.2,1.25,0.5,1,8.7,99.5,97.3
Danuel House Jr.,Phi,F-G,29.38,4,18.6,38.6,11.1,22.5,4,0.5,5,0.8,7,0.143,0.458,0.472,3.3,2,6.3,1.5,11.2,0.5,0.25,1,4.6,95.5,106.7
Caleb Houstan,Orl,0,19.79,2,21.5,44.8,8.8,11.3,2,1,3,0.333,4,0.25,0.357,0.444,3.5,3,7.5,0,0,0,0.5,0.5,0,85.5,108.4
Trevor Hudgins,Hou,0,23.59,1,3.8,7.9,10.6,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,0,0,,
Kevin Huerter,Sac,G-F,24.16,3,30.7,64,19.3,9.4,8,0.75,10,0.4,25,0.48,0.629,0.649,16.7,3.7,6.8,3.7,17,0.33,0,1.33,8,125.8,99.9
De'Andre Hunter,Atl,F-G,24.9,3,32,66.6,18.5,4.7,5,0.6,27,0.593,11,0.273,0.539,0.547,14.7,4.7,7.5,2,9.4,0.67,0,0.67,6.5,112.2,104.8
Bones Hyland,Den,G,22.11,4,17,35.4,28.7,15.3,13,0.769,18,0.333,15,0.4,0.455,0.517,10,0.5,1.7,3.5,28.5,0,0.25,1.75,6.1,102.6,109.9
Serge Ibaka,Mil,F,33.1,2,9.3,19.3,19.1,12.7,2,0.5,3,0.333,3,0.667,0.667,0.654,4.5,3,16.7,0,0,0,0.5,0.5,0,113.3,90.7
Brandon Ingram,Nor,F,25.15,3,26.4,55.1,28.8,17.3,22,0.818,31,0.581,7,0.571,0.632,0.692,22,5.7,11.4,4,22.9,1.33,0.33,3.33,12,120.5,102.4
Kyrie Irving,Bro,G,30.59,3,37.8,78.8,30.7,8.7,14,0.929,42,0.571,25,0.28,0.515,0.56,27.3,3.7,5.4,5.7,25.2,1.33,1,2.33,8.8,112.8,110.2
Jaden Ivey,Det,0,20.7,3,31.8,66.2,23.5,19.7,11,0.727,29,0.517,11,0.455,0.563,0.591,17.7,5.3,8.1,6,31.7,1.33,0,3.67,10.4,108.3,105.9
Isaiah Jackson,Ind,F,20.79,4,17.9,37.2,16.8,9.8,17,0.706,19,0.526,1,0,0.5,0.582,8,3.8,10.9,0.8,5.5,0.5,1.75,0.75,6.5,119.5,101.5
Justin Jackson,Bos,F,27.58,1,5.5,11.5,24.1,0,0,0,1,0,2,1,1,1,6,0,0,0,0,0,0,0,0,157.4,122.3
Reggie Jackson,Lac,G,32.53,3,24.7,51.4,15.7,19.1,5,0.8,11,0.273,8,0.5,0.474,0.519,7.3,1.7,3.6,3.7,21.3,1,0,1.67,5.8,100.8,109.8
LeBron James,Lal,F,37.82,3,36.5,76.1,30.6,13.3,17,0.765,37,0.649,27,0.259,0.539,0.574,27.3,10.7,14.9,7.3,39.5,1,1.33,3.67,14.1,109.4,100.6
Isaiah Joe,Okc,G,23.32,2,3.1,6.5,19.7,0,0,0,1,1,2,0,0.333,0.333,1,0.5,7.7,1.5,71.3,0.5,0,0,11.7,,
Cameron Johnson,Pho,F,26.64,3,24.1,50.2,18.3,6.7,0,0,12,0.417,16,0.438,0.554,0.554,10.3,3.7,8.7,1.3,8.1,1,0.67,0.67,6.1,110.4,99.1
James Johnson,Ind,F,35.68,1,11.9,24.8,9.9,0,0,0,2,0.5,1,0,0.333,0.333,2,2,8.7,1,10.3,0,2,0,5.3,89.2,109.7
Jalen Johnson,Atl,F,20.85,3,11.9,24.7,14.8,16,8,0.75,4,0.75,3,0,0.429,0.57,4,1.3,5.8,0,0,0,0,0.67,0,107.9,108.8
Keon Johnson,Por,G,20.63,1,9.7,20.2,22.4,60,0,0,0,0,2,0.5,0.75,0.75,3,2,11.6,1,14.5,0,2,3,7.5,60.8,104.1
Keldon Johnson,San,F-G,23.04,4,32.2,67,26.3,9.6,15,0.6,39,0.513,30,0.367,0.529,0.542,20.5,6.3,10.5,3.5,16.2,1.5,0,2,9.5,105.1,107.7
Nikola Jokic,Den,C,27.68,4,33.4,69.5,21.4,17.9,25,0.88,38,0.658,6,0.5,0.67,0.736,20.3,10.3,17.9,9.5,41.2,1,0.25,3,15.1,140.4,104.8
Derrick Jones Jr.,Chi,F,25.69,2,15.9,33,16.9,8.1,10,0.9,5,0.6,2,0.5,0.643,0.789,9,2,6.8,0.5,4.8,1,0.5,0.5,5.2,158.5,102
Damian Jones,Lal,C,27.32,2,6.7,14,18.2,0,0,0,5,0.6,1,0,0.5,0.5,3,1.5,11.4,1,26.3,0,0,0,9.9,116.6,96.9
Herbert Jones,Nor,F,24.05,3,31.8,66.3,10.8,11.6,9,0.778,13,0.462,6,0.167,0.395,0.479,7.3,3.3,5.6,2,7.3,0,1.33,1,4.6,107.9,99.5
Kai Jones,Cha,C-F,21.76,2,2.9,6,7,0,0,0,0,0,1,1,1.5,1.5,1.5,0,0,0,0,0,0,0,0,,
Tre Jones,San,G,22.79,4,29.9,62.3,19.2,14.1,15,0.933,33,0.515,9,0.333,0.512,0.586,14.3,3.8,6.7,4.5,20.2,1.75,0.5,2,8.4,115.3,105.1
Tyus Jones,Mem,G,26.46,4,23.8,49.6,23,7.5,5,0.4,25,0.36,22,0.364,0.447,0.447,11,2.8,6.2,3.3,20.3,0.5,0.25,1,7.8,100.2,113.5
DeAndre Jordan,Den,C,34.26,3,10,20.9,15.2,18.6,4,0.25,7,0.857,0,0,0.857,0.742,4.3,3,17.4,0.7,9.5,0,0.33,0.67,8.3,125.5,109.4
Cory Joseph,Det,G,31.18,3,14.5,30.2,11,8.4,2,1,5,0.4,5,0.8,0.8,0.827,6,1.3,4.4,2.7,27.5,0,0,0.33,7.6,165.7,106.4
Trevor Keels,Nyk,0,19.16,1,1,2.1,41,0,0,0,0,0,1,0,0,0,0,1,48.4,0,0,0,0,0,0,,
Luke Kennard,Lac,G,26.33,3,23.3,48.5,15.8,12.1,2,1,13,0.385,8,0.5,0.524,0.548,8,1.7,3.9,0.3,2.2,0,0,1,2.7,95.5,106.2
Walker Kessler,Uta,0,21.25,4,18,37.6,13.4,16.8,11,0.455,15,0.667,0,0,0.667,0.63,6.3,6.3,18.6,1.3,9.3,0.5,1.75,1,8.3,121.4,97.4
Braxton Key,Det,F,25.69,1,4.7,9.8,16.1,0,2,1,1,1,0,0,1,1.064,4,0,0,0,0,0,0,0,0,230.1,122.4
Maxi Kleber,Dal,F,30.74,2,23.9,49.8,8.9,10.1,2,0.5,4,0.5,4,0.5,0.625,0.619,5.5,6.5,16.2,0.5,2.8,1,0.5,0.5,4.4,126.8,96.6
Nathan Knight,Min,F-C,25.1,2,1.8,3.8,0,,0,0,0,0,0,0,,,0,1,25.9,0,0,0,0,0,0,,
Kevin Knox II,Det,F,23.21,2,12.3,25.5,26.2,12.5,0,0,5,0.2,9,0.111,0.179,0.179,2.5,2.5,9.8,0,0,0,0,1,0,39.1,109.6
Christian Koloko,Tor,0,22.35,4,16.3,33.9,8,8.6,6,0.5,8,0.25,0,0,0.25,0.329,1.8,3,10.3,0.5,4.2,0,0.75,0.25,3.4,89.9,93.3
John Konchar,Mem,G,26.59,4,27.6,57.4,11.9,6.3,2,0.5,8,0.625,21,0.476,0.69,0.686,10.3,5.5,10.7,0.5,2.5,1.75,0.25,0.5,4.4,135.2,108.2
John Konchar,Mem,G,26.59,4,27.6,57.4,11.9,6.3,2,0.5,8,0.625,21,0.476,0.69,0.686,10.3,5.5,10.7,0.5,2.5,1.75,0.25,0.5,4.4,135.2,108.2
Furkan Korkmaz,Phi,G-F,25.26,1,2,4.2,23.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Vit Krejci,Atl,G,22.35,1,1.7,3.5,0,,0,0,0,0,0,0,,,0,0,0,1,68.3,0,0,0,0,,
Jonathan Kuminga,Gol,F,20.05,3,9.3,19.4,18.3,38.8,2,1,5,0.6,2,0,0.429,0.508,2.7,1.7,9.9,0,0,0,0,1.67,0,64.5,95.6
Kyle Kuzma,Was,F,27.26,3,35.3,73.5,22.4,5.7,16,0.688,23,0.522,20,0.4,0.558,0.59,19.7,7,11.6,2.3,10.1,0,1.33,1,7.7,117.8,102.7
Jock Landale,Pho,C,27,3,14,29.1,24.3,8.7,7,0.714,12,0.583,6,0.167,0.472,0.522,7.3,5.3,21.8,0.3,3.6,0,0.33,0.67,6.5,109.2,87.5
Romeo Langford,San,G-F,23,2,4.7,9.7,21.8,0,0,0,5,0.4,0,0,0.4,0.4,2,0,0,0,0,0,0,0,0,80.9,120.7
Jake LaRavia,Mem,0,20.98,4,15.3,31.9,13.7,9.8,3,1,6,0.167,11,0.545,0.588,0.628,5.8,2.8,9.6,0.3,2.2,0.25,0.5,0.5,4.4,123.9,94.9
Zach LaVine,Chi,G-F,27.63,2,30.4,63.2,28.3,7.5,11,0.818,21,0.429,11,0.455,0.516,0.57,21,2.5,4.4,3,18,1.5,0.5,1.5,7.1,113.9,108.7
Damion Lee,Pho,G-F,30.01,3,20.9,43.6,12.9,0,3,0.667,6,0.333,11,0.455,0.559,0.573,7,3,8.2,2,13,0.67,0,0,6.7,133.1,96.8
Kawhi Leonard,Lac,F,31.32,2,21,43.8,27.4,15.4,9,0.889,12,0.583,6,0.167,0.472,0.569,12.5,6.5,16.7,2,15.8,1.5,0,2,10.4,111.3,95
Caris LeVert,Cle,G,28.17,3,34.7,72.2,17.8,12,8,0.875,19,0.158,14,0.5,0.409,0.465,11.3,4,7,6.3,24.2,1,0.33,1.67,7.6,105.6,104.6
Damian Lillard,Por,G,32.28,4,37.1,77.2,33.6,13.1,36,0.917,44,0.591,40,0.4,0.595,0.666,33.3,5.5,8.4,5.3,26.8,0.75,0.5,3.75,10.7,126.2,112.3
Nassir Little,Por,F-G,22.7,4,13.9,28.9,16.6,0,5,0.2,10,0.7,9,0.444,0.684,0.637,6.8,2.5,10.2,0.5,5.9,0.5,0,0,5.9,130.6,113
Isaiah Livers,Det,F,24.24,1,15.9,33.1,22.7,33.3,0,0,3,0.333,3,0.667,0.667,0.667,8,2,6,0,0,2,0,3,0,74,92.8
Kenneth Lofton Jr.,Mem,0,20.2,1,8.9,18.5,20.5,0,1,0,3,0.667,1,0,0.5,0.45,4,1,6,1,17.9,0,0,0,7.1,101.6,81.5
Kevon Looney,Gol,F,26.72,3,21.6,44.9,8.2,0,3,0.333,12,0.667,0,0,0.667,0.638,5.7,5,12.9,4,23.4,0.33,0.33,0,9,160.5,99.6
Brook Lopez,Mil,C,34.56,2,29.9,62.2,18.7,4,2,0.5,5,0.4,18,0.389,0.543,0.544,13,4.5,7.8,1.5,7.1,1,3.5,0.5,5.9,112.6,105.8
Robin Lopez,Cle,C,34.56,2,15.2,31.6,19.1,15.4,0,0,11,0.818,0,0,0.818,0.818,9,4.5,18.1,0.5,5.9,0,1,1,7.2,141.7,103
Kevin Love,Cle,F-C,34.13,3,19.4,40.3,17.9,8.5,1,1,7,0.429,14,0.5,0.643,0.653,9.3,8.7,27.2,2,15.2,0,0,0.67,11.2,126.3,95.4
Kyle Lowry,Mia,G,36.59,4,35.4,73.6,16.4,11.5,16,0.875,14,0.286,25,0.28,0.372,0.467,10.8,3.5,5.4,4.5,18.6,1.25,0.25,1.5,6.3,102.5,102.6
Trey Lyles,Sac,F,26.97,2,9.3,19.3,27.1,8.3,0,0,2,0.5,9,0.222,0.364,0.364,4,2.5,15.4,0.5,7.6,1,0,0.5,7.4,74.5,88.3
Theo Maledon,Cha,G,21.37,2,9.4,19.6,9.1,23.8,5,0.8,1,1,0,0,1,0.938,3,0.5,2.7,2.5,29.2,0.5,0,0.5,6.6,163.5,110.6
Sandro Mamukelashvili,Mil,F-C,23.43,1,2.2,4.6,20.4,100,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,,
