FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Jaylin Williams,Okc,0,20.32,1,7.6,15.8,23.8,0,1,0,4,0.5,0,0,0.5,0.45,4,6,37.8,2,45.6,0,0,0,19.1,131.5,77
Kenrich Williams,Okc,G-F,27.9,3,18.8,39.2,13.9,5.2,3,0.333,12,0.417,5,0.2,0.382,0.382,4.7,3.7,9.3,1.7,12.1,0.33,0,0.33,6.6,98.3,100.5
Mark Williams,Cha,0,20.86,2,2.9,6,34.3,41,2,1,2,0.5,0,0,0.5,0.694,2,2,35.2,0,0,0,0,1,0,,
Zion Williamson,Nor,F,22.3,3,30.2,62.9,31.6,12.5,14,0.714,57,0.491,0,0,0.491,0.522,22,6.7,11.8,2.3,12.3,2,0.67,3,9.2,100.5,100.5
Patrick Williams,Chi,F,21.16,4,20.6,42.9,15.6,10.1,4,0.75,15,0.4,10,0.2,0.36,0.392,5.3,2.3,5.9,0,0,0.5,0.5,0.75,0,80.6,108.8
Justise Winslow,Por,F-G,26.58,3,25.1,52.3,15.4,11.3,6,0.833,17,0.412,4,0.25,0.405,0.465,7.3,5,11.2,1.3,7.5,1.67,0.67,1,5.8,104,104.5
James Wiseman,Gol,C,21.57,3,17.5,36.5,20.3,11.2,13,0.538,18,0.722,0,0,0.722,0.696,11,6,19.1,1.3,11.4,0,0.33,1,10.1,126.4,91.7
Christian Wood,Dal,F,27.08,2,24.7,51.5,35.4,7.4,24,0.625,17,0.588,10,0.5,0.648,0.666,25,10,24.1,2.5,19.1,0,1,1.5,13.8,132.5,90.2
McKinley Wright IV,Dal,G,24,1,5,10.4,34.5,0,0,0,3,0.333,1,0,0.25,0.25,2,2,23.9,2,63.2,1,0,0,16,95.4,94.6
Delon Wright,Was,G,30.5,3,24.9,51.9,15,15.9,5,0.6,11,0.545,8,0.125,0.395,0.425,6,2.7,6.3,3.3,17.8,2.33,1,1.33,6.1,95.1,104.6
Thaddeus Young,Tor,F,34.34,3,9.1,19,13,12.5,0,0,3,0.667,4,0.25,0.5,0.5,2.3,1,6.2,0.3,5.5,1,0,0.33,3.9,99.1,92
Trae Young,Atl,G,24.1,3,36.2,75.3,35.5,10.9,24,0.958,43,0.372,28,0.25,0.373,0.466,25.3,4,5.7,11.7,49.7,0.33,0.33,3.33,11.7,105.4,108.9
Ivica Zubac,Lac,C,25.61,3,27,56.2,15.1,28.9,6,0.667,17,0.647,0,0,0.647,0.662,8.7,11,22,1.3,7.5,0,2,2.67,7.4,111.2,102.5
Luke Kornet,Bos,F-C,27.28,2,5.7,11.8,19.1,20.5,2,0.5,2,0.5,1,0,0.333,0.387,1.5,2,20.2,0,0,0,0,0.5,0,88.4,106.5
Troy Brown Jr.,Lal,G-F,23.24,1,22.2,46.3,12.8,0,0,0,5,0.4,2,0,0.286,0.286,4,4,9.2,1,6.4,1,0,0,4.5,65.5,99.5
