,Team,Position,Age,No,Player,Height
102,Uta,F,26.88,16,Simone Fontecchio,6-8
103,Min,G,29.26,10,Bryn Forbes,6-2
104,Atl,G,24.37,2,Trent Forrest,6-4
105,Nyk,G-F,29.99,13,Evan Fournier,6-7
106,Sac,G,24.85,5,De'Aaron Fox,6-3
107,Lal,F,25.58,35,Wenyen Gabriel,6-9
108,Was,F-C,24.07,21,Daniel Gafford,6-10
109,Cle,G,22.75,10,Darius Garland,6-1
110,Hou,F,20.63,16,Usman Garuba,6-8
111,Uta,F-G,36.19,22,Rudy Gay,6-8
112,Lac,F,32.48,13,Paul George,6-8
113,Okc,G,20.04,3,Josh Giddey,6-8
114,Okc,G-F,24.29,2,Shai Gilgeous-Alexander,6-6
115,Was,F,30.02,16,Anthony Gill,6-7
116,Min,C,30.33,27,Rudy Gobert,7-1
117,Den,F,27.11,50,Aaron Gordon,6-8
118,Hou,G,33.83,10,Eric Gordon,6-3
119,Nor,G,27.67,4,Devonte Graham,6-1
120,Por,F,28.62,9,Jerami Grant,6-8
121,Mil,G,23.08,20,AJ Green,6-4
122,Gol,F,32.64,23,Draymond Green,6-6
123,Gol,F-C,32.35,1,JaMychal Green,6-8
124,Hou,G,20.71,4,Jalen Green,6-4
125,Chi,G-F,29.26,24,Javonte Green,6-4
126,Den,F,36.16,32,Jeff Green,6-8
127,Dal,G,21.94,8,Josh Green,6-5
128,Atl,F,19.17,14,AJ Griffin,6-6
129,Bos,F,33.61,91,Blake Griffin,6-9
130,Was,F,24.71,8,Rui Hachimura,6-8
131,Ind,G,22.65,0,Tyrese Haliburton,6-5
132,Orl,G,21.71,13,RJ Hampton,6-4
133,Dal,G-F,30.61,11,Tim Hardaway Jr,6-5
134,Phi,G,33.16,1,James Harden,6-5
135,Dal,G,20.31,3,Jaden Hardy,6-4
136,Phi,F-C,28.75,5,Montrezl Harrell,6-7
137,Bro,G-F,31.13,12,Joe Harris,6-6
138,Orl,G,25.34,7,Kevon Harris,6-6
139,Phi,F,30.28,12,Tobias Harris,6-8
140,Nyk,C-F,24.47,55,Isaiah Hartenstein,7-0
141,Por,G,27.64,11,Josh Hart,6-5
142,Bos,F,24.88,30,Sam Hauser,6-8
143,Nor,C-F,22.42,10,Jaxson Hayes,6-11
144,Det,G,21.25,7,Killian Hayes,6-5
145,Cha,F,32.59,20,Gordon Hayward,6-7
146,Tor,F,27.07,41,Juancho Hernangomez,6-9
147,Nor,C-F,28.41,9,Willy Hernangómez,6-11
148,Mia,G,22.76,14,Tyler Herro,6-5
149,Ind,G,29.85,24,Buddy Hield,6-4
150,Mia,F,25.87,24,Haywood Highsmith,6-7
151,Mil,G,36.48,3,George Hill,6-4
152,Chi,F,27.0,21,Malcolm Hill,6-6
153,Atl,G,26.07,3,Aaron Holiday,6-0
154,Mil,G,32.37,21,Jrue Holiday,6-3
155,Atl,F-G,33.56,8,Justin Holiday,6-6
156,Sac,F,29.03,22,Richaun Holmes,6-10
157,Bos,C-F,36.39,42,Al Horford,6-9
158,Uta,G,21.91,0,Talen Horton-Tucker,6-4
159,Phi,F-G,29.38,25,Danuel House Jr,6-6
160,Orl,G,19.79,2,Caleb Houstan,6-8
161,Hou,G,23.59,12,Trevor Hudgins,6-0
162,Sac,G-F,24.16,9,Kevin Huerter,6-7
163,Atl,F-G,24.9,12,De'Andre Hunter,6-8
164,Den,G,22.11,3,Bones Hyland,6-3
165,Mil,F,33.1,25,Serge Ibaka,6-10
166,Nor,F,25.15,14,Brandon Ingram,6-8
167,Bro,G,30.59,11,Kyrie Irving,6-2
168,Det,G,20.7,23,Jaden Ivey,6-4
169,Ind,F,20.79,22,Isaiah Jackson,6-10
170,Bos,F,27.58,43,Justin Jackson,6-8
171,Lac,G,32.53,1,Reggie Jackson,6-2
172,Lal,F,37.82,6,LeBron James,6-9
